,Title,Description,Published At,Source
0,Pompeo heads to N Korea ahead of summit,The US Secretary of State travels to Pyongyang ahead of a meeting between Kim Jong-un and Donald Trump.,2018-05-08T20:29:23Z,"{'id': 'bbc-news', 'name': 'BBC News'}"
1,Eric Schneiderman Set Himself Up as Trump’s Foil. What Happens Now?,The attorney general had made his name since 2016 a crusader against Mr. Trump’s agenda and a counterweight to the presidential pardon powers.,2018-05-08T20:19:25.878Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}"
2,Obama: Leaving Iran deal 'misguided',"Former President Barack Obama on Tuesday criticized President Donald Trump's decision to exit the Iran deal, a pillar of Obama's legacy on foreign policy.",2018-05-08T19:57:31Z,"{'id': 'cnn', 'name': 'CNN'}"
3,Read the Full Transcript of Trump’s Iran Nuclear Deal Speech,"President Trump addressed the nation from the White House on Tuesday to announce the decision, which will isolate the United States from its European allies.",2018-05-08T19:41:12.822Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}"
4,Netanyahu: Israel thanks Trump for his courage - CNN Video,Israel's Prime Minister Benjamin Netanyahu says Israel fully supports President Trump's decision to withdraw from the Iran nuclear deal.,2018-05-08T19:37:54.0021712Z,"{'id': 'cnn', 'name': 'CNN'}"
5,Trump's entire Iran deal announcement - CNN Video,President Donald Trump announces his decision to pull the United States out of the Iran nuclear deal.,2018-05-08T19:37:47.4038457Z,"{'id': 'cnn', 'name': 'CNN'}"
6,Three reasons behind Trump ditching Iran deal,Donald Trump announced the US will withdraw from the Iran nuclear agreement. Here are some reasons behind his decision.,2018-05-08T19:33:46Z,"{'id': 'bbc-news', 'name': 'BBC News'}"
7,Israel Golan alert over Iran 'activity',"The military tells residents to prepare bomb shelters over ""irregular Iranian activity"" in Syria.",2018-05-08T19:16:30Z,"{'id': 'bbc-news', 'name': 'BBC News'}"
8,"9/11 Planner, Tortured by C.I.A., Asks to Tell Senators About Gina Haspel","It isn’t known whether Ms. Haspel, nominated to lead the C.I.A., was involved in torturing Khalid Shaikh Mohammed, who asked a military judge at Guantánamo Bay for permission to share the information.",2018-05-08T18:45:05.704Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}"
9,Pompeo Heads to North Korea as Trump-Kim Summit Approaches,"Secretary of State Mike Pompeo is headed to North Korea on his second trip in just over a month, President Donald Trump said Tuesday, as a planned summit between Mr. Trump and North Korean leader Kim Jong Un approaches.",2018-05-08T18:45:00Z,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}"
10,"Trump announces withdrawal from Iran nuclear deal, will re-institute sanctions","President Donald Trump announced Tuesday he is quitting the Iran nuclear deal, pitting him against the United States' closest allies and leaving the future of Tehran's nuclear ambitions in question.",2018-05-08T18:32:15Z,"{'id': 'cnn', 'name': 'CNN'}"
11,Trump pulls US out of Iran deal,"""A decaying and rotten deal"" - Trump says he will withdraw the US from Obama-era nuclear agreement with Iran",2018-05-08T18:24:23Z,"{'id': 'bbc-news', 'name': 'BBC News'}"
12,How Fast Iran Could Build a Nuclear Bomb,"Iran could quickly ramp up its nuclear activities if President Donald Trump pulls out of the agreement designed to curtail them, but experts and former officials differ over how long Tehran would need to build a bomb.",2018-05-08T18:21:00Z,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}"
13,Behind Trump’s Termination of Iran Deal is Risky Bet that U.S. Can ‘Break the Regime’,President Trump’s decision to pull out of the Iran nuclear deal is premised on the idea that the U.S. and its allies force a better deal with Tehran through isolation and sanctions.,2018-05-08T17:55:35.762Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}"
14,Argentina Seeks Credit Line From IMF,Argentina’s government has begun talks with the International Monetary Fund for a credit line as the administration of President Mauricio Macri seeks to contain a steady depreciation of the local currency.,2018-05-08T17:45:00Z,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}"
15,Ebola returns to DR Congo,"There are two confirmed cases and 17 deaths where the virus is suspected in Bikoro, officials say.",2018-05-08T17:39:34Z,"{'id': 'bbc-news', 'name': 'BBC News'}"
16,Trump to Withdraw U.S. From Iran Accord,"President Donald Trump was set on Tuesday to announce that the U.S. is withdrawing from the Iran nuclear accord, according to a person briefed on the decision.",2018-05-08T17:23:00Z,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}"
17,Vodafone to Buy Some of Liberty Global’s European Assets for $23 Billion,"Vodafone, the world’s second-largest wireless carrier by subscribers, is close to announcing a $23 billion cash deal to buy operations in four European countries from John Malone’s Liberty Global.",2018-05-08T16:22:00Z,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}"
18,World awaits Trump verdict on Iran deal,America's European allies hold their breath to see if the US president will torpedo the accord.,2018-05-08T16:08:08.0655426Z,"{'id': 'bbc-news', 'name': 'BBC News'}"
19,Trump Tells Macron the U.S. Will Withdraw From Iran Nuclear Deal,"Mr. Trump’s decision, while long anticipated and widely telegraphed, plunges America’s relations with European allies into deep uncertainty.",2018-05-08T15:50:25Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}"
